Region,cases,State
Armidale Regional,4,New South Wales
Ballina,4,New South Wales
Bellingen,4,New South Wales
Berrigan,4,New South Wales
Blayney,4,New South Wales
Broken Hill,4,New South Wales
Cabonne,4,New South Wales
Coonamble,4,New South Wales
Cootamundra Gundagai Regional,4,New South Wales
Dungog,4,New South Wales
Glen Innes Severn,4,New South Wales
Greater Hume Shire,4,New South Wales
Griffith,4,New South Wales
Hay,4,New South Wales
Hilltops,4,New South Wales
Inverell,4,New South Wales
Kempsey,4,New South Wales
Kiama,4,New South Wales
Lachlan,4,New South Wales
Lithgow,4,New South Wales
Liverpool Plains,4,New South Wales
Murrumbidgee,4,New South Wales
Muswellbrook,4,New South Wales
Nambucca,4,New South Wales
Narrandera,4,New South Wales
Narromine,4,New South Wales
Singleton,4,New South Wales
Tenterfield,4,New South Wales
Upper Hunter Shire,4,New South Wales
Upper Lachlan Shire,4,New South Wales
Uralla,4,New South Wales
Warren,4,New South Wales
Warrumbungle Shire,4,New South Wales
Weddin,4,New South Wales
Wollondilly,4,New South Wales
Dubbo Regional,5,New South Wales
Lismore,5,New South Wales
Mid Western Regional,5,New South Wales
Strathfield,5,New South Wales
Albury,6,New South Wales
Burwood,6,New South Wales
Snowy Monaro Regional,6,New South Wales
Yass Valley,6,New South Wales
Federation,7,New South Wales
Orange,7,New South Wales
Clarence Valley,8,New South Wales
Goulburn Mulwaree,8,New South Wales
Bathurst Regional,9,New South Wales
Bega Valley,9,New South Wales
Eurobodalla,9,New South Wales
Queanbeyan Palerang Regional,9,New South Wales
Wagga Wagga,9,New South Wales
Coffs Harbour,10,New South Wales
Hunters Hill,12,New South Wales
Tamworth Regional,12,New South Wales
Tweed,12,New South Wales
Byron,13,New South Wales
Fairfield,13,New South Wales
Canada Bay,14,New South Wales
Wingecarribee,17,New South Wales
Shellharbour,19,New South Wales
Blue Mountains,21,New South Wales
Hawkesbury,21,New South Wales
Willoughby,21,New South Wales
Cessnock,23,New South Wales
Shoalhaven,24,New South Wales
Campbelltown,27,New South Wales
Maitland,27,New South Wales
Port Macquarie Hastings,27,New South Wales
Camden,28,New South Wales
Lane Cove,29,New South Wales
Mosman,30,New South Wales
Port Stephens,31,New South Wales
Liverpool,33,New South Wales
Mid Coast,33,New South Wales
Georges River,36,New South Wales
Bayside,39,New South Wales
Lake Macquarie,39,New South Wales
Parramatta,39,New South Wales
Hornsby,40,New South Wales
North Sydney,40,New South Wales
Wollongong,47,New South Wales
Newcastle,48,New South Wales
Ku ring gai,49,New South Wales
Cumberland,50,New South Wales
Penrith,51,New South Wales
The Hills Shire,51,New South Wales
Inner West,54,New South Wales
Randwick,56,New South Wales
Ryde,57,New South Wales
Sutherland Shire,64,New South Wales
Canterbury Bankstown,74,New South Wales
Woollahra,82,New South Wales
Blacktown,83,New South Wales
Central Coast,94,New South Wales
Sydney,120,New South Wales
Northern Beaches,124,New South Wales
Waverley,151,New South Wales
